                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4498,                 4.9578,                 2.1933,                0.00068,                0.17788,                0.00107,                0.00064,                 1.5408,                 4.2188,                 1.5418,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                 2.2198,                 4.8845,                 2.0766,                0.00099,                 0.2476,                0.00162,                0.00094,                 1.4609,                 4.1642,                 1.4963,             9.9535e-05,             9.9535e-05,             9.9535e-05
                      3,                 1.7175,                 4.3366,                 1.7028,                 0.0017,                0.31731,                0.00184,                0.00092,                 1.5167,                 4.1527,                 1.5476,             0.00015563,             0.00015563,             0.00015563
                      4,                 1.4507,                 3.5906,                 1.4895,                0.00276,                0.36939,                0.01597,                0.00952,                 1.4979,                 4.1502,                 1.5825,             0.00021117,             0.00021117,             0.00021117
                      5,                 1.2186,                 2.8062,                 1.2691,                0.00336,                0.52644,                0.12654,                0.07599,                 1.4794,                 3.9619,                 1.4793,             0.00026613,             0.00026613,             0.00026613
                      6,                 1.1436,                  2.913,                 1.2708,                0.00325,                0.52644,                0.14763,                0.08128,                 1.4425,                 4.0212,                 1.5021,             0.00032054,             0.00032054,             0.00032054
                      7,                  1.254,                 2.8656,                 1.2109,                0.00251,                 0.3101,                  0.109,                0.05254,                  1.528,                 4.1076,                 1.6419,             0.00037437,             0.00037437,             0.00037437
                      8,                 1.0742,                 2.3329,                 1.1683,                0.00324,                0.27163,                0.08584,                0.04751,                 1.6759,                 4.1945,                 1.7662,             0.00042764,             0.00042764,             0.00042764
                      9,                   1.16,                 2.2242,                 1.2823,                0.00592,                0.49519,                 0.1116,                0.05318,                 1.8178,                 4.1312,                 1.7916,             0.00048034,             0.00048034,             0.00048034
                     10,                 1.1375,                 2.5733,                 1.1723,                0.00502,                0.28285,                0.04666,                0.02836,                 1.9585,                 4.3018,                 1.9292,             0.00053248,             0.00053248,             0.00053248
                     11,                 1.1362,                 2.5297,                 1.2282,                0.00762,                0.30369,                0.04154,                0.02206,                 1.8558,                 4.1555,                 1.6833,             0.00058405,             0.00058405,             0.00058405
                     12,                 1.1668,                 2.2617,                 1.2197,                0.00505,                0.35577,                0.03445,                0.01816,                 1.8567,                 4.1066,                 1.6365,             0.00063506,             0.00063506,             0.00063506
                     13,                 1.2182,                 2.5587,                  1.261,                0.00204,                 0.2508,                0.00953,                0.00275,                 1.9813,                 4.2739,                 1.8043,              0.0006855,              0.0006855,              0.0006855
